DEVELOPMENT,BOROUGH,SEWERSHED,WORK TYPE,DWELLING_UNITS,NRR,PRIORITY,RAD/PACT,CYEAR,FYEAR,STATUS,COST, ESTIMATE ,FUNDING,IMPLEM_METHOD,RUNNING_COST_YEAR,RUNNING_COUNT,EST_YEAR
BARUCH HOUSES ADDITION,MANHATTAN,Newtown Creek,Food Waste Disposer,197,Zone 1,4,,2019,2020,COMPLETED,"$607,266.52 ",,NYCHA Operating,CM/JOCs,"$607,266.52 ",197,2019
MELTZER TOWER,MANHATTAN,Newtown Creek,Food Waste Disposer,229,Zone 1,4,,2019,2020,COMPLETED,"$534,717.81 ",,NYCHA Operating,CM/JOCs,"$1,141,984.33 ",426,2019
TWO BRIDGES URA (SITE 7),MANHATTAN,Newtown Creek,Food Waste Disposer,250,Zone 1,4,,2019,2020,COMPLETED,"$561,519.42 ",,NYCHA Operating,CM/JOCs,"$1,703,503.75 ",676,2019
LAFAYETTE,BROOKLYN,Newtown Creek,Food Waste Disposer,882,Zone 1,2,,2020,2020,QUEUED,,"$1,515,925.11 ",NRR City Expense,Jacobs - JOCs,"$1,515,925.11 ",1558,2020
1010 EAST 178TH STREET,BRONX,0,Food Waste Disposer,218,0,0,,,,,,"$374,684.44 ",,,#REF!,1776,#REF!
104-14 TAPSCOTT STREET,BROOKLYN,0,Food Waste Disposer,30,0,0,2020-2021,,,,,"$51,562.08 ",,,#REF!,1806,#REF!
1162-1176 WASHINGTON AVENUE,BRONX,0,Food Waste Disposer,65,0,0,2022-2025,,,,,"$111,717.84 ",,,#REF!,1871,#REF!
131 SAINT NICHOLAS AVENUE,MANHATTAN,0,Food Waste Disposer,98,Zone 2,4,2026+,,,,,"$168,436.12 ",,,#REF!,1969,#REF!
1471 WATSON AVENUE,BRONX,0,Food Waste Disposer,96,Zone 3,0,2026+,,,,,"$164,998.65 ",,,#REF!,2065,#REF!
154 WEST 84TH STREET,MANHATTAN,0,Food Waste Disposer,35,0,0,,,,,,"$60,155.76 ",,,#REF!,2100,#REF!
303 VERNON AVENUE,BROOKLYN,Newtown Creek,Food Waste Disposer,234,Zone 1,4,,,,,,"$402,184.21 ",,,#REF!,2334,#REF!
335 EAST 111TH STREET,MANHATTAN,0,Food Waste Disposer,66,Zone 3,4,2020-2021,,,,,"$113,436.57 ",,,#REF!,2400,#REF!
